Robbery, City
46,Waterford Township
46,Gloucester Township
46,Hoboken
46,Rahway
46,Clovis
46,Sandusky
46,Abington Township
46,Washington  Washington County
46,Hurst
45,Davis
45,Tustin
45,Medford
45,Columbia Heights
45,Franklin Township  Somerset County
45,Roswell
45,Elmira
45,Pineville
45,Cranston
45,Woonsocket
45,Greenville
45,Sugar Land
44,Duarte
44,Hawaiian Gardens
44,Maywood
44,San Fernando
44,San Jacinto
44,Santee
44,Woodland
44,Palatka
44,St. Charles
44,Billings
44,Kearny
44,Toms River Township
44,Kinston
44,Summerville
44,Haltom City
43,Azusa
43,Margate
43,Palm Beach Gardens
43,Ferndale
43,Greenwood
43,Kingston
43,Johnstown
42,Forrest City
42,Artesia
42,Calexico
42,Lompoc
42,Los Banos
42,Port Hueneme
42,Arvada
42,New Port Richey
42,Palmetto Bay
42,Cartersville
42,Jeffersontown
42,Lewiston
42,Benton Township
42,Jennings
42,Irondequoit Town
42,Ossining Village
42,Watertown
42,Cary
42,Des Moines
42,Janesville
41,Cudahy
41,La Mirada
41,Seaside
41,Thousand Oaks
41,Walnut Creek
41,Conyers
41,Aberdeen
41,Tupelo
41,Conway
41,North Richland Hills
41,Puyallup
40,Albany
40,Mangonia Park
40,Alpharetta
40,Saugus
40,Jefferson City
40,Cherry Hill Township
40,Greece Town
40,Forest Hill
40,Terrell
40,Weslaco
40,Beckley
40,Martinsburg
39,Bullhead City
39,Banning
39,Novato
39,Santa Paula
39,Grand Junction
39,Auburndale
39,Morrow
39,Clarksville
39,Iowa City
39,Slidell
39,Southaven
39,Chambersburg
39,West Chester
39,Yeadon
39,Anderson
39,Columbia
39,Huntsville
39,Longview
38,Auburn
38,Newnan
38,Austintown
38,West Columbia
38,Rapid City
38,Bedford
38,Lufkin
38,Olympia
37,Paducah
37,Bogalusa
37,Vicksburg
37,Deptford Township
37,Morristown
37,Beacon
37,Lexington
37,Roanoke Rapids
37,Warrensville Heights
37,West Chester Township
37,Tigard
37,Whitehall Township
37,McKinney
36,Blytheville
36,Springdale
36,Folsom
36,Fountain Valley
36,Centennial
36,Fort Collins
36,Elizabethtown
36,Pittsfield
36,Auburn Hills
36,Florissant
36,Oxford
36,Grove City
36,North College Hill
36,Swatara Township
36,Warwick
36,Addison
36,Euless
36,West Jordan
35,Prichard
35,Fayetteville
35,Adelanto
35,Coral Gables
35,Holly Hill
35,Temple Terrace
35,Winter Park
35,Burnsville
35,Egg Harbor Township
35,Wildwood
35,Haverstraw Town
35,Jamestown
35,Chillicothe
35,York Area Regional
35,Gaffney
35,Oak Ridge
35,Balch Springs
34,El Dorado
34,Imperial Beach
34,Selma
34,Port St. Lucie
34,Wellington
34,Hazelwood
34,North Brunswick Township
34,Paramus
34,Zanesville
34,Beaufort
34,Sioux Falls
34,Cleveland
34,DeSoto
34,Taylorsville City
34,Pasco
33,Leeds
33,Eloy
33,Brentwood
33,San Dimas
33,Signal Hill
33,Wheat Ridge
33,Wilton Manors
33,Olathe
33,Ocean City
33,Framingham
33,Burton
33,Cape Girardeau
33,North Plainfield
33,East Ridge
33,Goodlettsville
33,College Station
33,San Marcos
33,Stafford
33,Kennewick
33,Kirkland
32,Ozark
32,Prescott
32,Burlingame
32,Cypress
32,Marysville
32,Newport Beach
32,Palo Alto
32,Vernon
32,Seaford
32,Fort Walton Beach
32,Miami Shores
32,Palm Springs
32,Dalton
32,Barnstable
32,Bay City
32,Farmington Hills
32,Royal Oak
32,Saginaw Township
32,Fridley
32,Overland
32,Sikeston
32,Laurinburg
32,Fairborn8
32,Riverside
32,Steubenville
32,Bend
32,Falls Township  Bucks County
32,Lower Paxton Township
32,West Manchester Township
32,Goose Creek
32,Bartlett
31,Irondale
31,Pelham
31,Brea
31,La Quinta
31,Monterey
31,Murrieta
31,Enfield
31,Lake Park
31,Stuart
31,Nampa
31,Attleboro
31,Randolph
31,Genesee Township
31,Hazel Park
31,Southgate
31,St. Louis Park
31,Olive Branch
31,Farmington
31,Amherst Town
31,Colonie Town
31,Albemarle
31,Spring Lake
31,Aiken
31,Hartsville
31,Round Rock
31,Greenfield
30,Suisun City
30,Casselberry
30,Beech Grove
30,Romulus
30,St. Clair Shores
30,Sterling Heights
30,Wayne
30,Columbus
30,Raytown
30,Missoula
30,Dover
30,Maplewood Township
30,Gates Town
30,Huntersville
30,Mint Hill
30,Smithfield
30,Huber Heights
30,Wooster
30,Enid
30,Beaverton
30,Cookeville
30,Morristown
30,Springfield
30,Cedar Hill
30,Grapevine
29,Troy
29,Kingman
29,Claremont
29,Mission Viejo
29,Boulder
29,Doral
29,Ruston
29,West Springfield
29,Woburn
29,Grenada
29,Great Falls
29,Dunn
29,Marion
29,Del City
29,Springfield
29,Clairton
29,Monroeville
29,Greer
29,Greeneville
29,Ennis
29,Farmers Branch
29,La Marque
29,Sandy
29,Fredericksburg
29,Morgantown
28,Camarillo
28,Greenfield
28,Hollister
28,Georgetown
28,Vidalia
28,Waycross
28,Fort Dodge
28,East Lansing
28,Mankato
28,McComb
28,Garfield
28,Guttenberg
28,Salem
28,Ithaca
28,Carrboro
28,Hope Mills
28,Selma
28,Harrisonburg
28,Waukesha
27,Goodyear
27,Arvin
27,Dublin
27,Menlo Park
27,Temple City
27,Commerce City
27,Lake City
27,North Port
27,Fairburn
27,Merrillville
27,Peabody
27,Kentwood
27,Eagan
27,Berkeley
27,Gladstone
27,Galloway Township
27,Harrison
27,Lawrence Township  Mercer County
27,Montclair
27,Red Bank
27,Teaneck Township
27,Washington Township  Gloucester County
27,Mooresville
27,Fairfield
27,Homestead
27,Mount Oliver
27,Darlington
27,Hanahan
27,New Braunfels
27,Paris8
27,Lacey
27,University Place
27,Parkersburg
26,Tolleson
26,Helena-West Helena
26,Chino Hills
26,Dinuba
26,Placentia
26,San Clemente
26,Miami Lakes
26,Waynesboro
26,Hobart
26,Thibodaux
26,Methuen
26,Salem
26,Troy
26,Coon Rapids
26,Philadelphia
26,Starkville
26,Freehold
26,Glassboro
26,Pemberton Township
26,Piscataway Township
26,Wallkill Town
26,Garner
26,Lenoir
26,Springdale
26,Klamath Falls
26,Duquesne
26,Lancaster Township  Lancaster County
26,Pocono Mountain Regional
26,Upper Chichester Township
26,Central Falls
26,Wheeling
26,Appleton
25,Trussville
25,Atwater
25,Brawley
25,Lake Forest
25,Petaluma
25,Pleasanton
25,San Luis Obispo
25,San Ramon
25,Walnut
25,Middletown
25,Tarpon Springs
25,Naperville
25,Cumberland
25,Westminster
25,Madison Heights
25,Fairview
25,Kernersville
25,Brooklyn
25,Clinton Township
25,Albany
25,Springettsbury Township
25,York
25,Cleburne
25,Nacogdoches
25,Sherman
25,Webster
25,Midvale
25,La Crosse
24,Coolidge
24,Campbell
24,Manhattan Beach
24,Sanger
24,Coconut Creek
24,Cordele
24,Fort Valley
24,Shelbyville
24,Bangor
24,Cambridge
24,Easton
24,Wareham
24,Niles
24,Portage
24,Maplewood
24,Mount Holly Township
24,Woodbury
24,Southern Pines
24,Whiteville
24,Alliance
24,Findlay
24,Kent
24,Carlisle
24,Spring Garden Township
24,Forest Acres
24,North Augusta
24,Orangeburg
24,Dyersburg
24,Copperas Cove
24,League City
24,Mission
24,Pearland
24,Provo
24,Herndon
24,Edmonds
24,Mount Vernon
23,Sylacauga
23,Cupertino
23,La Verne
23,Martinez
23,South Pasadena
23,Hialeah Gardens
23,Mount Dora
23,New Smyrna Beach
23,Vero Beach
23,Calhoun
23,McDonough
23,Dodge City
23,Newton
23,West St. Paul
23,Corinth
23,Lee's Summit
23,Burlington
23,South Orange
23,Long Beach
23,Monticello Village
23,Peekskill
23,West Seneca Town
23,Washington
23,Bexley
23,Broken Arrow
23,Manheim Township
23,Plymouth Township  Montgomery County
23,Sharon
23,Laurens
23,Denison
23,Glendale
23,Cheyenne
22,Glendora
22,Norco
22,Oakley
22,Clewiston
22,Dade City
22,Goshen
22,Westbrook
22,Falmouth
22,Plymouth
22,Golden Valley
22,Lynbrook Village
22,Reidsville
22,Westerville
22,Moore
22,Sharon Hill
22,Susquehanna Township  Dauphin County
22,Marion
22,Mount Pleasant
22,Collierville
22,Nederland
22,Watauga
22,Wenatchee
22,Superior
21,Surprise
21,Magnolia
21,Poway
21,Rocklin
21,Soledad
21,South Lake Tahoe
21,Lantana
21,North Palm Beach
21,Pahokee
21,Zephyrhills
21,Covington
21,Milledgeville
21,Monroe
21,Crystal
21,Roseville
21,Horn Lake
21,Ridgeland
21,Blue Springs
21,Poplar Bluff
21,Carteret
21,Middle Township
21,Paulsboro
21,Penns Grove
21,Phillipsburg
21,Wayne Township
21,Johnson City Village
21,Kenmore Village
21,Lockport
21,Southampton Town
21,Clinton
21,Hendersonville
21,Matthews
21,Newton
21,Gahanna
21,Kettering
21,Xenia
21,Alcoa
21,Covington
21,Hendersonville
21,Shelbyville
21,Mansfield
21,Moses Lake
21,Wausau
20,Dumas
20,Hercules
20,Yucca Valley
20,Lake Wales
20,Ormond Beach
20,Rockledge
20,Springfield
20,Clarkston
20,Snellville
20,Twin Falls
20,Ashland
20,St. Matthews
20,Waltham
20,Adrian
20,Garden City
20,Pittsfield Township
20,Eden Prairie
20,Edina
20,Maple Grove
20,New Hope
20,North Kansas City
20,Bellevue
20,Somerville
20,Poughkeepsie Town
20,Ramapo Town
20,Kings Mountain
20,Cuyahoga Falls
20,Miamisburg
20,New Kensington
20,Steelton
20,Warminster Township
20,Lancaster
20,Mullins
20,Athens
20,Aransas Pass
20,Groves
20,Marshall
20,Colonial Heights
20,Kelso
20,Marysville
20,Redmond
19,Jacksonville
19,Apache Junction
19,Laguna Hills
19,San Juan Capistrano
19,Milford
19,Cocoa Beach
19,Gulfport
19,Longwood
19,Pembroke Park
19,Hutchinson
19,Bel Air
19,Beverly
19,Gardner
19,Albion
19,Buena Vista Township
19,Hopkins
19,Plymouth
19,Pearl
19,Brick Township
19,Englewood
19,Haddon Township
19,Greenburgh Town
19,Zebulon
19,Fargo
19,Hilliard
19,Liberty Township
19,Piqua
19,Ardmore
19,Roseburg
19,Aliquippa
19,Beaver Falls
19,Hanover
19,Muhlenberg Township
19,Northern York Regional
19,Newport
19,Bennettsville
19,North Myrtle Beach
19,Dickson
19,Millington
19,Bellaire
19,Dickinson
19,Gainesville
19,Kingsville
19,Emporia
19,Leesburg
19,Toppenish
19,Fitchburg
18,Huron
18,Rohnert Park
18,Loveland
18,Wallingford
18,Clermont
18,Cooper City
18,Okeechobee
18,Orange City
18,South Daytona
18,St. Cloud
18,Caldwell
18,La Porte
18,Clinton
18,Liberal
18,Seat Pleasant
18,Chesterfield Township
18,Concord
18,Hamilton Township  Atlantic County
18,Old Bridge Township
18,Somers Point
18,Newburgh Town
18,North Tonawanda
18,Rotterdam Town
18,Asheboro
18,Lincolnton
18,Red Springs
18,Rockingham
18,Butler
18,Ellwood City
18,Middletown Township
18,West Warwick
18,Lake City
18,Manning
18,Brownsville
18,Gallatin
18,Maryville
18,Tullahoma
18,Balcones Heights
18,Orem
18,Bothell
18,Mountlake Terrace
18,Town of Madison
17,Vestavia Hills
